Meldedatum, value
2021-07-26, 15.2
2021-07-27, 15.5
2021-07-28, 16.4
2021-07-29, 17
2021-07-30, 17.5
2021-07-31, 18
2021-08-01, 18.5
2021-08-02, 18.7
2021-08-03, 19.2
2021-08-04, 20
2021-08-05, 20.8
2021-08-06, 21.9
2021-08-07, 23.1
2021-08-08, 24.1
2021-08-09, 24.5
2021-08-10, 25.5
2021-08-11, 27.7
2021-08-12, 30.2
2021-08-13, 32.5
2021-08-14, 35.2
2021-08-15, 37.4
2021-08-16, 38.5
2021-08-17, 40.4
2021-08-18, 44.5
2021-08-19, 48.2
2021-08-20, 52.1
2021-08-21, 55.8
2021-08-22, 58.4
2021-08-23, 59.6
2021-08-24, 62.1
2021-08-25, 66.9
2021-08-26, 71.6
2021-08-27, 75.2
2021-08-28, 77.1
2021-08-29, 79
2021-08-30, 79.7
2021-08-31, 80.3
2021-09-01, 82.4
2021-09-02, 84.8
2021-09-03, 86.1
2021-09-04, 88.1
2021-09-05, 89.4
2021-09-06, 89.8
2021-09-07, 89.7
2021-09-08, 90.4
2021-09-09, 89.6
2021-09-10, 89.3
2021-09-11, 88.1
2021-09-12, 87
2021-09-13, 86.1
2021-09-14, 85.9
2021-09-15, 83.9
2021-09-16, 81.5
2021-09-17, 79
2021-09-18, 76.3
2021-09-19, 74.5
2021-09-20, 73.9
2021-09-21, 72.1
2021-09-22, 69.5
2021-09-23, 67.4
2021-09-24, 66
2021-09-25, 65.4
2021-09-26, 64.6
2021-09-27, 64.4
2021-09-28, 64.9
2021-09-29, 66.5
2021-09-30, 67.6
2021-10-01, 68.1
2021-10-02, 68.1
2021-10-03, 67.9
2021-10-04, 67.9
2021-10-05, 67.7
2021-10-06, 67.2
2021-10-07, 66.9
2021-10-08, 67.7
2021-10-09, 68.7
2021-10-10, 69.7
2021-10-11, 69.7
2021-10-12, 70.4
2021-10-13, 70.9
2021-10-14, 72.1
2021-10-15, 73.5
2021-10-16, 75.8
2021-10-17, 77.6
2021-10-18, 78.5
2021-10-19, 80.8
2021-10-20, 88.6
2021-10-21, 95.7
2021-10-22, 102.9
2021-10-23, 109.5
2021-10-24, 115.3
2021-10-25, 117.4
2021-10-26, 121.9
2021-10-27, 130.6
2021-10-28, 141.8
2021-10-29, 150.2
2021-10-30, 157.3
2021-10-31, 161.9
2021-11-01, 164.6
2021-11-02, 164.1
2021-11-03, 161.8
2021-11-04, 172.4
2021-11-05, 186.9
2021-11-06, 200.4
2021-11-07, 208.4
2021-11-08, 213.7
2021-11-09, 229.1
2021-11-10, 256.5
2021-11-11, 274.1
2021-11-12, 290.1
2021-11-13, 304.9
2021-11-14, 317.2
2021-11-15, 325.8
2021-11-16, 338.2
2021-11-17, 357.2
2021-11-18, 372
2021-11-19, 385.8
2021-11-20, 405.6
2021-11-21, 415.6
2021-11-22, 422.5
2021-11-23, 437
2021-11-24, 450.9
2021-11-25, 465.9
2021-11-26, 478.7
2021-11-27, 480.6
2021-11-28, 483.7
2021-11-29, 484.6
2021-11-30, 481.8
2021-12-01, 480.7
2021-12-02, 478.6
2021-12-03, 474
2021-12-04, 472.1
2021-12-05, 469.2
2021-12-06, 466.2
2021-12-07, 464
2021-12-08, 458.9
2021-12-09, 450.7
2021-12-10, 438.3
2021-12-11, 424.6
2021-12-12, 415.2
2021-12-13, 406.1
2021-12-14, 393
2021-12-15, 382.1
2021-12-16, 364.4
2021-12-17, 351.8
2021-12-18, 340
2021-12-19, 332.6
2021-12-20, 328.6
2021-12-21, 323.1
2021-12-22, 308.7
2021-12-23, 294.9
2021-12-24, 280.1
2021-12-25, 256.8
2021-12-26, 235.1
2021-12-27, 232.9
2021-12-28, 229.9
2021-12-29, 224
2021-12-30, 224.9
2021-12-31, 232.7
2022-01-01, 241.2
2022-01-02, 245.7
2022-01-03, 250.7
2022-01-04, 264.5
2022-01-05, 289.9
2022-01-06, 317.3
2022-01-07, 335.2
2022-01-08, 367.5
2022-01-09, 395
2022-01-10, 406
2022-01-11, 427.4
2022-01-12, 453.3
2022-01-13, 482.1
2022-01-14, 515.4
2022-01-15, 545.3
2022-01-16, 569.7
2022-01-17, 583.9
2022-01-18, 618.7
2022-01-19, 667.5
2022-01-20, 729.6
2022-01-21, 802.3
2022-01-22, 878.3
2022-01-23, 925
2022-01-24, 956.6
2022-01-25, 1024.5
2022-01-26, 1104.7
2022-01-27, 1170.3
2022-01-28, 1235.6
2022-01-29, 1287.9
2022-01-30, 1321.8
2022-01-31, 1337
