Altersgruppe, Meldedatum, value
>=80, 2021-01-10, 314.6
>=80, 2021-01-11, 313.1
>=80, 2021-01-12, 313.1
>=80, 2021-01-13, 308.6
>=80, 2021-01-14, 307.8
>=80, 2021-01-15, 302.5
>=80, 2021-01-16, 290.2
>=80, 2021-01-17, 284.8
>=80, 2021-01-18, 282.2
>=80, 2021-01-19, 275.6
>=80, 2021-01-20, 268.6
>=80, 2021-01-21, 257.2
>=80, 2021-01-22, 246.4
>=80, 2021-01-23, 235.3
>=80, 2021-01-24, 230.4
>=80, 2021-01-25, 224.3
>=80, 2021-01-26, 217.4
>=80, 2021-01-27, 206.7
>=80, 2021-01-28, 198.9
>=80, 2021-01-29, 186.1
>=80, 2021-01-30, 180.2
>=80, 2021-01-31, 172.3
>=80, 2021-02-01, 170
>=80, 2021-02-02, 166
>=80, 2021-02-03, 156.2
>=80, 2021-02-04, 145
>=80, 2021-02-05, 140.2
>=80, 2021-02-06, 132.1
>=80, 2021-02-07, 128.4
>=80, 2021-02-08, 125
>=80, 2021-02-09, 120.6
>=80, 2021-02-10, 113.4
>=80, 2021-02-11, 106.5
>=80, 2021-02-12, 97.6
>=80, 2021-02-13, 91.3
>=80, 2021-02-14, 85.6
>=80, 2021-02-15, 85.7
>=80, 2021-02-16, 84.9
>=80, 2021-02-17, 83.3
>=80, 2021-02-18, 81.1
>=80, 2021-02-19, 77.9
>=80, 2021-02-20, 75.7
>=80, 2021-02-21, 75.6
>=80, 2021-02-22, 73.8
>=80, 2021-02-23, 72.5
>=80, 2021-02-24, 70.5
>=80, 2021-02-25, 67.8
>=80, 2021-02-26, 66.4
>=80, 2021-02-27, 64.9
>=80, 2021-02-28, 63
>=80, 2021-03-01, 62.4
>=80, 2021-03-02, 61.3
>=80, 2021-03-03, 59.4
>=80, 2021-03-04, 56.2
>=80, 2021-03-05, 54.7
>=80, 2021-03-06, 52.6
>=80, 2021-03-07, 51.3
>=80, 2021-03-08, 51.1
>=80, 2021-03-09, 49.8
>=80, 2021-03-10, 48.6
>=80, 2021-03-11, 49
>=80, 2021-03-12, 49.9
>=80, 2021-03-13, 50.6
>=80, 2021-03-14, 52.2
>=80, 2021-03-15, 52
>=80, 2021-03-16, 52.8
>=80, 2021-03-17, 55
>=80, 2021-03-18, 55.5
>=80, 2021-03-19, 55.5
>=80, 2021-03-20, 57
>=80, 2021-03-21, 56.9
>=80, 2021-03-22, 57.9
>=80, 2021-03-23, 58.7
>=80, 2021-03-24, 59.4
>=80, 2021-03-25, 61.5
>=80, 2021-03-26, 63.3
>=80, 2021-03-27, 64.5
>=80, 2021-03-28, 66
>=80, 2021-03-29, 66.4
>=80, 2021-03-30, 67
>=80, 2021-03-31, 66.6
>=80, 2021-04-01, 67.2
>=80, 2021-04-02, 66.6
>=80, 2021-04-03, 63.8
>=80, 2021-04-04, 61.2
>=80, 2021-04-05, 60.6
>=80, 2021-04-06, 58
>=80, 2021-04-07, 55.2
>=80, 2021-04-08, 53.3
>=80, 2021-04-09, 55.2
>=80, 2021-04-10, 58.3
>=80, 2021-04-11, 60.7
>=80, 2021-04-12, 61.3
>=80, 2021-04-13, 63.7
>=80, 2021-04-14, 67.9
>=80, 2021-04-15, 69.7
>=80, 2021-04-16, 69.1
>=80, 2021-04-17, 68.9
>=80, 2021-04-18, 68.7
>=80, 2021-04-19, 68.9
>=80, 2021-04-20, 69.8
>=80, 2021-04-21, 68.8
>=80, 2021-04-22, 68.7
>=80, 2021-04-23, 67.5
>=80, 2021-04-24, 66.1
>=80, 2021-04-25, 66.1
>=80, 2021-04-26, 65.4
>=80, 2021-04-27, 64.2
>=80, 2021-04-28, 61.6
>=80, 2021-04-29, 58.9
>=80, 2021-04-30, 57
>=80, 2021-05-01, 55.5
>=80, 2021-05-02, 53.7
>=80, 2021-05-03, 52.6
>=80, 2021-05-04, 50.6
>=80, 2021-05-05, 51.1
>=80, 2021-05-06, 49.7
>=80, 2021-05-07, 48.2
>=80, 2021-05-08, 46.7
>=80, 2021-05-09, 45.2
>=80, 2021-05-10, 45
>=80, 2021-05-11, 44.2
>=80, 2021-05-12, 41.6
>=80, 2021-05-13, 39.6
>=80, 2021-05-14, 36
>=80, 2021-05-15, 32.7
>=80, 2021-05-16, 32
>=80, 2021-05-17, 31.9
>=80, 2021-05-18, 30.9
>=80, 2021-05-19, 28.7
>=80, 2021-05-20, 27.4
>=80, 2021-05-21, 26.6
>=80, 2021-05-22, 26.8
